"","Uniprot.ID","TC.Exp1.20min..log2.","TC.Exp2.20min..log2.","TC.Exp3.20min..log2.","LY.Exp1.Insulin.Starved..log2.","LY.Exp2.Insulin.Starved..log2.","LY.Exp3.Insulin.Starved..log2.","MK.Exp1.Insulin.Starved..log2.","MK.Exp2.Insulin.Starved..log2.","MK.Exp3.Insulin.Starved..log2."
"322","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7"," 1.17"," 1.20",NA," 0.77"," 0.87"," 0.73","  0.96","  0.73"," 1.04"
"323","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7"," 0.85",NA,NA,NA,NA,NA,NA,NA,NA
"324","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7"," 0.21",NA," 2.18",NA,"-0.73",NA,NA,NA,NA
"325","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7"," 0.21",NA," 2.15",NA,"-0.73",NA,NA,NA,NA
"326","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7","-0.08"," 0.96","-0.50","-0.55","-0.86","-0.59"," -0.53"," -0.45","-0.76"
"327","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7","-0.35","-0.07","-0.27","-0.19"," 0.15"," 0.15"," -0.12","  0.01","-0.14"
"328","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7",NA,NA,NA,NA," 0.04",NA," -1.46",NA,NA
"330","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7"," 0.94"," 1.32",NA,NA," 1.63",NA,NA,"  1.97",NA
"331","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7","-0.37",NA,NA,NA,NA,NA,NA,NA,NA
"336","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7"," 1.75"," 1.87"," 1.87"," 2.11"," 1.45"," 1.54",NA," -1.33"," 1.59"
"341","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7"," 0.59",NA,NA,NA," 0.70",NA,NA,NA,NA
"342","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7"," 0.88",NA,NA,NA,NA,NA,NA,NA,NA
"348","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7"," 0.57"," 0.77",NA," 0.71"," 0.63"," 0.66","  0.84",NA," 0.73"
"353","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7",NA,"-0.79","-1.26","-0.82","-0.70","-0.79"," -0.84",NA,NA
"355","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7",NA,"-0.81",NA,NA,NA,NA,NA,NA,NA
"356","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7"," 1.07"," 1.30"," 1.23"," 0.16"," 0.84"," 0.88","  0.91",NA," 1.15"
"357","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7"," 0.54",NA,"-0.16",NA," 0.22"," 0.06",NA,NA,NA
"358","Q91ZX7;Q3U454;Q811K6;Q8C4T5","-0.55","-0.55"," 0.46"," 0.55","-0.75","-0.76","  0.29"," -0.56","-0.36"
"359","Q91ZX7;Q3U454;Q811K6;Q8C4T5"," 0.46"," 0.68"," 0.40","-0.04"," 0.53"," 0.83","  0.44","  0.76"," 0.68"
"360","Q91ZX7;Q3U454;Q811K6;Q8C4T5"," 0.69"," 0.39","-0.11"," 0.77"," 0.43"," 0.03","  0.15","  1.00","-0.11"
"361","B2RX70;Q8BMB4","-0.28"," 0.00","-0.11"," 0.31","-0.28"," 0.07","  0.25","  0.33"," 0.09"
"363","Q8C6U8;Q8BR96;Q8C920",NA,NA,NA,NA,"-2.04",NA,NA,NA,NA
"364","Q8C6U8;Q8BR96;Q8C920",NA,NA,NA,NA,"-2.04",NA,NA,NA,NA
"365","Q8C6U8;Q8BR96;Q8C920",NA,NA,NA,NA,"-2.04",NA,NA,NA,NA
"370","A2AG58-1;A2AG58;A2AG58-2;A2AG55"," 0.50"," 0.17","-0.16"," 1.46",NA,NA,"  0.15","  0.11",NA
"371","A2AG58-1;A2AG58;A2AG58-2;A2AG55","-0.41"," 0.17","-0.16"," 1.46",NA,NA,"  0.15","  0.11",NA
"372","Q3U442;Q6NV65;Q8C919;Q3TDC8;Q8C3R1;Q8CBQ6;Q9JKU7","-0.13"," 0.00","-0.10",NA,"-0.47"," 0.20",NA," -0.15"," 0.06"
"373","Q3U442;Q6NV65;Q8C919;Q3TDC8;Q8C3R1;Q8CBQ6;Q9JKU7"," 0.14",NA,NA,NA,NA,NA,NA," -0.44",NA
"383","P58742;Q3TEP0;Q8BU75;Q8R3F7","-0.01"," 0.13"," 0.84",NA,"-0.09","-0.21",NA," -0.46","-0.03"
"384","P51912;Q3UFR4;Q5U647;Q9ESU7","-0.17","-0.02","-0.06"," 0.38"," 0.32"," 0.20","  0.35","  0.33"," 0.23"
"385","P51912;Q3UFR4;Q5U647;Q9ESU7",NA,"-0.14","-0.03",NA,NA,NA,"  0.68",NA," 0.32"
"387","P51912;Q3UFR4;Q5U647;Q9ESU7",NA,"-0.17",NA,"-0.10",NA,NA,NA,NA,NA
"388","P51912;Q3UFR4;Q5U647;Q9ESU7","-0.24","-0.17",NA,"-0.05","-0.20","-0.17"," -0.54",NA,NA
"389","P51912;Q3UFR4;Q5U647;Q9ESU7","-0.36","-0.33","-0.46","-0.81","-0.69","-0.75"," -0.64"," -0.82","-0.72"
"390","P51912;Q3UFR4;Q5U647;Q9ESU7",NA,NA,NA," 0.03"," 0.19"," 0.09",NA,NA,NA
"391","P51912;Q3UFR4;Q5U647;Q9ESU7"," 0.98"," 0.93",NA," 0.03"," 0.19"," 0.24",NA," -0.46",NA
"392","P51912;Q3UFR4;Q5U647;Q9ESU7"," 0.27",NA,NA," 0.03",NA,NA,NA,NA,NA
"395","Q99PG0",NA,NA,NA,NA,NA," 2.75",NA,NA,NA
"396","Q8R2R3;Q3TW04"," 0.31"," 0.11"," 0.07","-0.19","-1.36",NA," -0.20","  0.15",NA
"397","Q8R2R3;Q3TW04"," 0.31"," 0.11"," 0.07","-0.19","-1.36",NA," -0.20","  0.15",NA
"398","Q8R2R3;Q3TW04"," 1.68",NA,NA,NA,NA,NA,NA,NA,NA
"401","Q8R2R3;Q3TW04"," 0.56"," 0.70"," 0.77",NA,NA,NA,NA,NA,NA
"402","Q8R2R3;Q3TW04",NA," 0.64",NA,NA,NA,NA,NA,NA,NA
"403","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2"," 0.08","-0.09",NA,"-1.64","-0.75",NA," -1.33"," -1.00","-0.70"
"404","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2"," 0.08","-0.09",NA,"-1.64","-0.75",NA," -1.33"," -1.00","-0.70"
"405","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2"," 3.85"," 3.61",NA,NA," 1.36"," 0.68",NA,NA," 3.09"
"406","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2"," 0.10","-0.72","-1.09",NA,"-0.22"," 0.26",NA,NA,NA
"407","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2"," 0.13"," 0.10","-1.27",NA," 0.54"," 0.23",NA,"  0.08",NA
"410","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2"," 0.00"," 0.15","-0.60",NA," 0.67",NA,NA,"  0.49",NA
"416","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2"," 0.38"," 0.25"," 0.21","-0.10"," 0.23"," 0.24"," -0.03",NA," 0.30"
"417","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2"," 1.93"," 2.21"," 1.99"," 0.95"," 1.39"," 1.75","  0.81","  1.30"," 1.35"
"418","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2"," 0.01","-0.18","-0.05"," 0.33","-0.66","-0.20","  0.25"," -0.17","-0.25"
"419","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2","-0.07"," 2.30","-0.23","-0.11","-0.17","-0.47"," -0.23",NA,"-0.12"
"420","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2","-0.06"," 0.11"," 0.06","-0.31","-0.19","-0.19"," -0.25"," -0.28","-0.01"
"421","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2","-0.17","-0.41","-0.32","-1.53","-1.25","-0.92"," -0.85"," -0.71","-0.90"
"422","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2",NA,NA,"-0.59",NA,NA,NA," -1.94",NA,NA
"425","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2","-0.61",NA,"-0.73",NA,NA,NA,NA,NA,NA
"427","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2","-0.15","-0.05","-0.03","-0.78","-0.05","-0.10"," -0.57"," -0.68","-0.05"
"428","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2"," 0.26"," 0.29"," 0.31","-0.21"," 0.52","-0.08"," -0.07"," -0.28"," 0.24"
"429","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2"," 0.70",NA,NA,NA," 0.35",NA,NA,NA,NA
"430","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2",NA," 0.16",NA,"-0.03"," 0.15",NA,"  0.13",NA,NA
"431","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2"," 0.25","-0.18","-0.03",NA," 0.55"," 0.39",NA," -0.68"," 0.38"
"432","Q3UHJ0-1;Q3UHJ0;B2RUJ0;Q3UHJ0-2"," 0.05","-0.60",NA,NA," 0.18"," 0.15",NA,NA,"-0.22"
"433","Q8BGQ7;Q3TZ32;Q3UD67;Q6PDM7;Q6XMP4;Q8R346"," 0.77",NA,NA,NA,"-0.20",NA,NA," -0.13",NA
"436","Q3THG9;A2AI35;A2A4P4;A2A4P3"," 4.66",NA," 1.49",NA,NA,NA,NA,NA,NA
"437","Q3THG9;A2AI35;A2A4P4;A2A4P3"," 2.43"," 1.27"," 2.93"," 0.66"," 1.00"," 1.02","  0.24","  0.69",NA
"438","Q3THG9;A2AI35;A2A4P4;A2A4P3"," 0.10","-0.18"," 0.19",NA," 0.25"," 0.37",NA,"  0.03"," 0.27"
"439","Q80WC9-1;Q80WC9"," 2.51",NA,NA,NA,NA,NA,NA,NA,NA
"440","Q9JKX4-1;Q9JKX4;Q3URN5;Q9JKX4-3;Q9JKX4-2",NA,NA," 8.83"," 0.31",NA,NA,"  0.53",NA,NA
"441","Q9JKX4-1;Q9JKX4;Q3URN5;Q9JKX4-3;Q9JKX4-2","-1.05","-0.22","-0.76"," 0.69",NA,NA,"  0.45","  0.90",NA
"442","Q9JKX4-1;Q9JKX4;Q3URN5;Q9JKX4-3;Q9JKX4-2","-1.61","-0.22","-0.86"," 0.64",NA,NA,"  0.32"," -0.13",NA
"443","Q9JKX4-1;Q9JKX4;Q3URN5;Q9JKX4-3;Q9JKX4-2","-1.61","-0.22","-0.86"," 0.64",NA,NA,"  0.32"," -0.13",NA
"444","Q80YE4-3;Q80YE4;A6BLY8;Q80YE4-1;B1AZF3;Q80YE4-4;B1AZF9;Q80YE4-2"," 4.10",NA,NA,NA,NA,NA,NA,NA,NA
"445","A6BLY9;Q3TYD6",NA,NA,NA," 2.45"," 2.09",NA,NA,"  1.94",NA
"446","A6BLY9;Q3TYD6",NA,NA,NA," 2.45"," 2.09",NA,NA,"  1.94",NA
"448","A6BLY9;Q3TYD6","-0.02",NA," 0.18",NA," 0.43",NA,NA,NA,NA
"449","A6BLY9;Q3TYD6",NA,NA," 0.08",NA,NA,NA,NA,NA,NA
"452","A6BLY9;Q3TYD6",NA,NA," 0.86",NA,NA,NA," -0.45"," -0.08",NA
"453","A6BLY9;Q3TYD6","-0.06",NA," 0.86",NA,NA,NA," -0.45","  0.09",NA
"454","A6BLY9;Q3TYD6","-0.06",NA," 0.86",NA,NA,NA," -0.45","  0.09",NA
"455","A6BLY9;Q3TYD6","-0.06",NA," 0.86",NA,NA,NA," -0.45","  0.00",NA
"456","A6BLY9;Q3TYD6"," 2.61",NA,NA,NA,NA,NA,NA,NA,NA
"457","A6BLY9;Q3TYD6"," 2.17",NA," 2.56"," 2.25",NA,NA,NA,NA,NA
"465","A6BLY9;Q3TYD6",NA," 1.44",NA,NA,"-0.70",NA,NA,NA,NA
"468","A6BLY9;Q3TYD6",NA,NA,NA,NA," 2.09",NA,NA,"  1.02",NA
"469","A6BLY9;Q3TYD6"," 0.04",NA," 1.19",NA," 0.17",NA,NA,NA,NA
"470","A6BLY9;Q3TYD6"," 0.78",NA," 1.19",NA,NA,NA,NA,NA,NA
"471","A6BLY9;Q3TYD6",NA,NA," 1.19",NA,NA,NA,NA,NA,NA
"472","A6BLY9;Q3TYD6",NA,NA,"-0.09",NA,NA,NA,NA,NA,NA
"474","P41234;Q3TMR1;Q3TZM0;Q6ZPZ4;A2AJ26"," 0.06","-0.17"," 0.17","-0.29","-0.01"," 0.15"," -0.21"," -0.10","-0.12"
"475","P41234;Q3TMR1;Q3TZM0;Q6ZPZ4;A2AJ26"," 0.06","-0.17"," 0.43","-0.29","-0.01"," 0.15"," -0.21"," -0.10","-0.12"
"477","B1AWZ8;Q8BPY1;P41233","-0.06",NA," 0.22",NA,NA,NA,NA,NA,NA
"479","B1AWZ8;Q8BPY1;P41233"," 1.36"," 2.30"," 2.89",NA,NA,NA,NA,"  0.98",NA
"480","B1AWZ8;Q8BPY1;P41233"," 2.02"," 1.85"," 3.19"," 2.18",NA,NA,NA,"  2.18",NA
"481","B1AWZ8;Q8BPY1;P41233",NA," 1.49",NA,NA,NA,NA,NA,NA,NA
"482","B1AWZ8;Q8BPY1;P41233",NA," 1.49",NA,NA,NA,NA,NA,NA,NA
"483","B1AWZ8;Q8BPY1;P41233",NA," 0.75",NA,NA,NA,NA,NA,NA,NA
"488","B1AWZ8;Q8BPY1;P41233","-0.03"," 0.24"," 0.11",NA,NA," 0.35",NA,NA,NA
"489","Q91V24;B2RWU5;B7ZNA4;Q8R1I3",NA,NA,NA,NA," 0.20","-0.77",NA,NA,NA
"490","Q91V24;B2RWU5;B7ZNA4;Q8R1I3",NA,NA,NA,NA," 0.20","-0.77",NA,NA,NA
"493","A2AC46;Q61102","-0.39",NA,NA,NA,NA,NA,NA,NA,NA
"494","O35379;A5D6P3;Q8BRD0;Q8C7V6","-0.12","-0.27","-0.49","-0.20","-9.20",NA," -0.19","  1.13",NA
"495","O35379;A5D6P3;Q8BRD0;Q8C7V6",NA,NA,NA,NA,NA,NA,NA,"  0.27",NA
"496","O35379;A5D6P3;Q8BRD0;Q8C7V6;Q3UDM1",NA,NA," 0.35",NA,NA,NA,NA,"  0.32",NA
"497","O35379;A5D6P3;Q8BRD0;Q8C7V6;Q3UDM1","-0.48"," 0.12","-0.33"," 0.10"," 0.15","-0.05","  0.44"," -0.01","-0.47"
"498","O35379;A5D6P3;Q8BRD0;Q8C7V6;Q3UDM1","-0.41"," 0.03","-0.02","-0.14","-0.03"," 0.07","  0.20","  0.11"," 0.04"
"499","O35379;A5D6P3;Q8BRD0;Q8C7V6","-0.24",NA,NA,NA,NA,NA,NA,NA,NA
"502","O35379;A5D6P3;Q8BRD0;Q8C7V6","-0.19"," 0.86"," 0.74",NA,NA,NA,NA,NA,NA
"503","O35379;A5D6P3;Q8BRD0;Q8C7V6"," 0.36"," 0.66"," 0.74",NA," 0.34",NA,NA,NA,NA
"504","O35379;A5D6P3;Q8BRD0;Q8C7V6"," 0.42"," 0.86"," 0.67",NA,NA,NA,NA,NA,NA
"507","O35379;A5D6P3;Q8BRD0;Q8C7V6","-1.33","-0.69","-1.10","-0.27","-0.32","-0.20",NA,NA,NA
"508","O35379;A5D6P3;Q8BRD0;Q8C7V6","-1.23","-0.69","-0.56",NA," 0.07","-0.31",NA,NA,NA
"509","O35379;A5D6P3;Q8BRD0;Q8C7V6","-0.05",NA," 0.22","-0.27"," 0.07",NA,NA,"  0.79",NA
"510","O35379;A5D6P3;Q8BRD0;Q8C7V6","-0.77","-0.27","-0.29","-0.20","-0.14",NA," -0.19"," -0.37",NA
"512","B9EKC2;Q3TZN9;B7ZWC5","-1.16",NA,NA,NA,"-1.26","-0.86",NA,NA,NA
"513","B9EKC2;Q3TZN9;B7ZWC5"," 0.10",NA,NA,"-0.43",NA,NA," -0.29",NA,NA
"514","B9EKC2;Q3TZN9;B7ZWC5","-1.31",NA,NA,"-1.20","-0.44","-1.68"," -1.37"," -1.35",NA
"515","B9EKC2;Q3TZN9;B7ZWC5","-0.74","-0.74","-0.62","-1.14","-1.26","-1.82"," -1.28"," -1.41",NA
"516","B9EKC2;Q3TZN9;B7ZWC5"," 0.39"," 0.13"," 0.70","-0.12","-0.03"," 0.03"," -0.32","  0.10",NA
"517","B9EKC2;Q3TZN9;B7ZWC5",NA,NA," 1.36",NA,NA,NA,NA,NA,NA
"518","B9EKC2;Q3TZN9;B7ZWC5",NA,NA," 2.18",NA,NA,NA,NA,NA,NA
"519","B9EKC2;Q3TZN9;B7ZWC5",NA,NA," 1.40",NA,NA,NA,NA,NA,NA
"520","B9EKC2;Q3TZN9;B7ZWC5",NA,NA," 1.14",NA,NA,NA,NA,NA,NA
"521","B9EKC2;Q3TZN9;B7ZWC5",NA,NA," 0.60",NA,NA,NA,NA,NA,NA
"522","B9EKC2;Q3TZN9;B7ZWC5","-0.43"," 0.55"," 0.60",NA,NA,NA,NA," -0.79",NA
"523","Q5CZY2;Q9R1X5","-0.26"," 0.08"," 0.03",NA,"-0.31","-0.15"," -0.16","  0.20"," 0.50"
"524","Q5CZY2;Q9R1X5;Q6P8Q2;Q8CFP9;Q9JL43","-0.18",NA," 0.29",NA," 0.21",NA,NA,NA,NA
"525","Q5CZY2;Q9R1X5;Q6P8Q2;Q8CFP9;Q9JL43"," 0.22"," 0.39",NA," 0.29",NA,NA,"  0.31","  0.43"," 0.83"
"527","Q5CZY2;Q9R1X5","-0.08","-0.04","-0.06"," 0.25"," 0.15"," 0.22","  0.13","  0.06","-0.09"
"528","Q5CZY2;Q9R1X5","-0.78","-0.35","-0.58",NA,NA,NA," -0.06",NA,"-0.09"
"529","Q5CZY2;Q9R1X5",NA,"-0.36"," 0.03","-0.11","-0.10",NA," -0.16","  0.19"," 0.50"
"531","Q61285;Q3TU16;Q3UYE0;Q9QZ30;Q9QZ31"," 0.20",NA,NA,NA,NA," 0.46",NA,NA,NA
"532","Q61285;Q3TU16;Q3UYE0;Q9QZ30;Q9QZ31","-0.28","-0.09",NA,NA,NA," 0.08",NA,NA,NA
"533","Q61285;Q3TU16;Q3UYE0;Q9QZ30;Q9QZ31","-0.29","-0.09",NA,NA,NA," 0.08",NA,NA,NA
"534","Q3U645;Q3UNS0;Q71V77;Q91VT3;Q9DBZ6;P55096","-0.30","-0.28"," 1.58","-0.45"," 0.36",NA," -0.62",NA,NA
"535","O89016;Q80Y28"," 0.03","-0.38",NA,NA," 0.06"," 0.07",NA,"  0.09",NA
"536","Q5RL55;Q9JL47;Q6P542;A1A4B8;Q3U6P1;Q99K92","-0.88","-0.94","-1.15","-1.28","-1.25","-1.33","  0.20"," -1.30","-1.32"
"537","Q5RL55;Q9JL47;Q6P542;A1A4B8;Q3U6P1;Q99K92"," 0.20"," 0.17"," 0.22"," 0.19"," 0.36"," 0.38","  0.25","  0.36"," 0.23"
"538","Q5RL55;Q9JL47;Q6P542;A1A4B8;Q3U6P1;Q99K92","-0.03","-0.05","-0.02"," 0.03"," 0.08","-0.06"," -0.10","  0.10"," 0.00"
"539","Q5RL55;Q9JL47",NA,NA,NA,"-0.12",NA,NA," -0.18",NA,NA
"540","Q5RL55;Q9JL47"," 0.01","-0.05"," 0.10"," 0.05"," 0.05","-0.23"," -0.06","  0.20","-0.25"
"543","Q5RL55;Q9JL47;Q6P542;A1A4B8;Q3U6P1;Q99K92"," 1.21",NA,NA,NA,NA,NA,NA,NA,NA
"544","Q5RL55;Q9JL47;Q6P542;A1A4B8;Q3U6P1;Q99K92","-0.35","-1.95","-0.09","-0.20"," 0.23"," 0.49"," -0.49","  0.57"," 0.14"
"545","Q5RL55;Q9JL47;Q6P542;A1A4B8;Q3U6P1;Q99K92"," 0.02","-0.26","-0.02"," 0.02","-0.08","-0.36"," -0.09","  0.09",NA
"546","P0CB42"," 0.47",NA,NA,NA,"-0.81","-0.01",NA,"  0.72"," 0.46"
"547","Q3TSG4","-2.37",NA,"-0.64","-0.11","-0.68",NA,NA," -0.14",NA
"548","Q3TSG4"," 0.20"," 0.09"," 0.20"," 0.70"," 1.26",NA," -0.08",NA,NA
"549","Q3TSG4","-0.34"," 0.13","-0.64","-0.11"," 0.42",NA,NA,"  0.43",NA
"552","Q3TSG4"," 1.21"," 1.43"," 1.67",NA,NA,NA,NA,"  1.74"," 1.29"
"553","Q3TSG4",NA,NA,NA,NA," 1.34",NA,NA,NA,NA
"554","Q3TSG4"," 0.02"," 0.15","-0.14"," 0.72","-0.68"," 0.47"," -0.08"," -0.38",NA
"555","Q3TSG4"," 0.20",NA,NA,NA,NA,NA,NA,NA,NA
"556","Q3TSG4","-0.45","-0.16","-0.57"," 0.00"," 0.28"," 0.29","  0.10","  0.21",NA
"557","Q3TSG4","-0.39"," 0.03","-0.17"," 0.00","-0.08",NA,"  0.10","  0.11",NA
"558","Q80UX8","-0.04",NA,NA,NA,NA,NA,NA,NA,NA
"559","Q5F2F2;B6DQM2",NA," 4.03"," 6.26",NA,NA,NA,NA,NA,NA
"560","Q5F2F2;B6DQM2",NA,NA," 0.86"," 0.03",NA,NA,NA,NA,NA
"561","Q5F2F2;B6DQM2"," 1.16"," 0.87",NA,NA,NA,NA,NA,NA,NA
"562","Q5F2F2;B6DQM2",NA,NA," 1.27",NA,NA,NA,NA,NA,NA
"563","Q5F2F2;B6DQM2;Q5F2E9"," 2.67"," 1.38"," 1.07",NA,NA,NA,NA,NA,NA
"564","Q5F2F2;B6DQM2;Q5F2E9"," 2.87"," 2.15"," 2.75"," 1.56"," 1.38"," 1.87","  2.16","  2.60"," 2.19"
"565","Q5F2F2;B6DQM2;Q5F2E9"," 0.07"," 0.17"," 0.20","-1.10","-0.18","-0.16"," -0.57"," -1.08"," 0.23"
"566","Q5F2F2;B6DQM2;Q5F2E9",NA," 0.26",NA,"-0.49",NA,NA,"  0.56",NA," 0.73"
"568","Q5F2F2;B6DQM2"," 6.56"," 6.45"," 5.79",NA," 4.65"," 4.68",NA,"  3.74"," 5.11"
"572","Q8R2Y0-1;Q8R2Y0;Q8R2Y0-2;Q9D375"," 0.47",NA,NA,NA,NA,NA,NA,NA,NA
"573","Q8R2Y0-1;Q8R2Y0;Q8R2Y0-2;Q9D375"," 0.47",NA,NA,NA,NA,NA,NA,NA,NA
"577","Q8CBW3-1;Q8CBW3;B7ZCT9;B7ZCU0;B7ZCU3;Q3UBL3;B7ZCU4;Q3TMI0;Q6AXD3;Q8CBW3-3;Q3TJ64;Q8CBW3-4;Q3TJR5;Q8CBW3-2;Q3TPY5;Q3UAH6;B7ZCU5;B7ZCU2;Q8CBW3-5;B7ZCU1"," 0.49"," 0.23",NA," 2.23"," 1.16",NA,"  1.24","  0.17"," 1.19"
"578","Q8CBW3-1;Q8CBW3;B7ZCT9;B7ZCU0;B7ZCU3;Q3UBL3;B7ZCU4;Q3TMI0;Q6AXD3;Q8CBW3-3;Q3TJ64;Q8CBW3-4;Q3TJR5;Q8CBW3-2;Q3TPY5;Q3UAH6"," 0.46"," 0.52","-0.61",NA," 0.46"," 0.38","  0.40","  0.32"," 0.89"
"580","Q8CBW3-1;Q8CBW3;B7ZCT9;B7ZCU0;B7ZCU3;Q3UBL3;B7ZCU4;Q3TMI0;Q6AXD3;Q8CBW3-3;Q3TJ64;Q8CBW3-4;Q3TJR5;Q8CBW3-2;Q3TPY5;Q3UAH6;B7ZCU5;B7ZCU2;Q8CBW3-5;B7ZCU1"," 0.22"," 0.07"," 0.24"," 0.02","-0.15","-0.19"," -0.06","  0.05"," 0.11"
"581","Q8CBW3-1;Q8CBW3;B7ZCT9;B7ZCU0;B7ZCU3;Q3UBL3;B7ZCU4;Q3TMI0;Q6AXD3;Q8CBW3-3;Q3TJ64;Q8CBW3-4;Q3TJR5;Q8CBW3-2;Q3TPY5;Q3UAH6;B7ZCU5;B7ZCU2;Q8CBW3-5;B7ZCU1","-0.48","-0.35","-0.12","-0.03",NA,NA," -0.33"," -0.19",NA
"582","Q8CBW3-1;Q8CBW3;B7ZCT9;B7ZCU0;B7ZCU3;Q3UBL3;B7ZCU4;Q3TMI0;Q6AXD3;Q8CBW3-3;Q3TJ64;Q8CBW3-4;Q3TJR5;Q8CBW3-2;Q3TPY5;Q3UAH6;B7ZCU5;B7ZCU2;Q8CBW3-5;B7ZCU1","-0.48","-0.35","-0.12","-0.03",NA,NA," -0.40"," -0.19",NA
"583","Q8CBW3-1;Q8CBW3;B7ZCT9;B7ZCU0;B7ZCU3;Q3UBL3;B7ZCU4;Q3TMI0;Q6AXD3;Q8CBW3-3;Q3TJ64;Q8CBW3-4;Q3TJR5;Q8CBW3-2;Q3TPY5;Q3UAH6;B7ZCU5;B7ZCU2;Q8CBW3-5;B7ZCU1",NA,NA,"-0.92","-0.98","-0.95","-1.07"," -1.06",NA,NA
"584","Q8CBW3-1;Q8CBW3;B7ZCT9;B7ZCU0;B7ZCU3;Q3UBL3;B7ZCU4;Q3TMI0;Q6AXD3;Q8CBW3-3;Q3TJ64;Q8CBW3-4;Q3TJR5;Q8CBW3-2;Q3TPY5;Q3UAH6;B7ZCU5;B7ZCU2;Q8CBW3-5;B7ZCU1",NA,NA,"-0.92","-1.06","-1.03","-1.07"," -0.85",NA,NA
"585","Q8CBW3-1;Q8CBW3;B7ZCT9;B7ZCU0;B7ZCU3;Q3UBL3;B7ZCU4;Q3TMI0;Q6AXD3;Q8CBW3-3;Q3TJ64;Q8CBW3-4;Q3TJR5;Q8CBW3-2;Q3TPY5;Q3UAH6;B7ZCU5;B7ZCU2;Q8CBW3-5;B7ZCU1"," 0.09"," 0.44","-1.76","-0.91",NA,NA," -1.67","  0.61"," 0.39"
"586","Q8CBW3-1;Q8CBW3;B7ZCT9;B7ZCU0;B7ZCU3;Q3UBL3;B7ZCU4;Q3TMI0;Q6AXD3;Q8CBW3-3;Q3TJ64;Q8CBW3-4;Q3TJR5;Q8CBW3-2;Q3TPY5;Q3UAH6;B7ZCU5;B7ZCU2;Q8CBW3-5;B7ZCU1",NA,NA," 2.36",NA,NA,NA,NA,NA,NA
"587","Q8CBW3-1;Q8CBW3;B7ZCT9;B7ZCU0;B7ZCU3;Q3UBL3;B7ZCU4;Q3TMI0;Q6AXD3;Q8CBW3-3;Q3TJ64;Q8CBW3-4;Q3TJR5;Q8CBW3-2;Q3TPY5;Q3UAH6;B7ZCU5;B7ZCU2;Q8CBW3-5;B7ZCU1"," 1.60",NA," 1.51",NA,NA,NA,NA,NA,NA
